date,open_interest,funding_rate
2026-08-13,109582.247,8.545e-05
2026-08-14,112009.372,6.801e-05
2026-08-15,111462.648,9.66e-06
2026-08-16,110845.935,3.818e-05
2026-08-17,106654.095,5.164e-05
2026-08-18,106520.778,1.617e-05
2026-08-19,107284.833,9.655e-05
2026-08-20,107070.434,4.964e-05
2026-08-21,106353.849,0.0001
2026-08-22,105824.502,0.0001
2026-08-23,105122.143,0.0001
2026-08-24,107254.712,5.818e-05
2026-08-25,106495.915,7.734e-05
2026-08-26,105817.24,4.595e-05
2026-08-27,108773.726,6.578e-05
2026-08-28,105873.273,0.0001
2026-08-29,107732.733,8.283e-05
2026-08-30,106689.439,7.271e-05
2026-08-31,107784.877,8.482e-05
2026-09-01,108970.48,7.995e-05
2026-09-02,107594.552,7.287e-05
2026-09-03,111952.152,8.893e-05
