,date,priceSol,coin,priceBTC,Coin
0,12/09/2021,174.5376282,solana,46063.26953,bitcoin
1,13/09/2021,169.2695465,solana,44963.07422,bitcoin
2,14/09/2021,158.0948181,solana,47092.49219,bitcoin
3,15/09/2021,159.1173859,solana,48176.34766,bitcoin
4,16/09/2021,152.4740601,solana,47783.35938,bitcoin
5,17/09/2021,147.5930634,solana,47267.51953,bitcoin
6,18/09/2021,169.1842194,solana,48278.36328,bitcoin
7,19/09/2021,152.5166931,solana,47260.21875,bitcoin
8,20/09/2021,132.1344604,solana,42843.80078,bitcoin
9,21/09/2021,123.9503937,solana,40693.67578,bitcoin
10,22/09/2021,147.9242554,solana,43574.50781,bitcoin
11,23/09/2021,149.7535706,solana,44895.09766,bitcoin
12,24/09/2021,139.3956451,solana,42839.75,bitcoin
13,25/09/2021,136.1789246,solana,42716.59375,bitcoin
14,26/09/2021,135.6993713,solana,43208.53906,bitcoin
15,27/09/2021,136.7284241,solana,42235.73047,bitcoin
16,28/09/2021,131.5372162,solana,41034.54297,bitcoin
17,29/09/2021,135.3514557,solana,41564.36328,bitcoin
18,30/09/2021,141.069046,solana,43790.89453,bitcoin
19,01/10/2021,161.682373,solana,48116.94141,bitcoin
20,02/10/2021,169.0930176,solana,47711.48828,bitcoin
21,03/10/2021,172.5891571,solana,48199.95313,bitcoin
22,04/10/2021,166.7319183,solana,49112.90234,bitcoin
23,05/10/2021,164.1158295,solana,51514.8125,bitcoin
24,06/10/2021,154.1077423,solana,55361.44922,bitcoin
25,07/10/2021,154.281189,solana,53805.98438,bitcoin
26,08/10/2021,158.9492035,solana,53967.84766,bitcoin
27,09/10/2021,156.8258362,solana,54968.22266,bitcoin
28,10/10/2021,148.0487061,solana,54771.57813,bitcoin
29,11/10/2021,144.858139,solana,57484.78906,bitcoin
30,12/10/2021,152.7371216,solana,56041.05859,bitcoin
31,13/10/2021,148.1760406,solana,57401.09766,bitcoin
32,14/10/2021,149.7568054,solana,57321.52344,bitcoin
33,15/10/2021,162.5962067,solana,61593.94922,bitcoin
34,16/10/2021,157.5388184,solana,60892.17969,bitcoin
35,17/10/2021,159.7438049,solana,61553.61719,bitcoin
36,18/10/2021,157.2312775,solana,62026.07813,bitcoin
37,19/10/2021,156.0170288,solana,64261.99219,bitcoin
38,20/10/2021,175.9468689,solana,65992.83594,bitcoin
39,21/10/2021,190.3184357,solana,62210.17188,bitcoin
40,22/10/2021,196.4315338,solana,60692.26563,bitcoin
41,23/10/2021,197.7038574,solana,61393.61719,bitcoin
42,24/10/2021,202.3619843,solana,60930.83594,bitcoin
43,25/10/2021,210.1042938,solana,63039.82422,bitcoin
44,26/10/2021,199.807251,solana,60363.79297,bitcoin
45,27/10/2021,183.7745972,solana,58482.38672,bitcoin
46,28/10/2021,194.8639832,solana,60622.13672,bitcoin
47,29/10/2021,200.1827545,solana,62227.96484,bitcoin
48,30/10/2021,195.4160614,solana,61888.83203,bitcoin
49,31/10/2021,202.4210205,solana,61318.95703,bitcoin
50,01/11/2021,203.5450897,solana,61004.40625,bitcoin
51,02/11/2021,220.2395935,solana,63226.40234,bitcoin
52,03/11/2021,242.898819,solana,62970.04688,bitcoin
53,04/11/2021,247.3877716,solana,61452.23047,bitcoin
54,05/11/2021,236.4743347,solana,61125.67578,bitcoin
55,06/11/2021,258.9343262,solana,61527.48047,bitcoin
56,07/11/2021,249.8234863,solana,63326.98828,bitcoin
57,08/11/2021,248.4671783,solana,67566.82813,bitcoin
